#                            f                  Etot(f)          Etot(f)-Etot(0)                   eps(f)                    Pi(f)
                      5.000000             -1018.971194                 0.000000               -19.408489                -6.262810
                      5.020000             -1019.319179                -0.347985               -16.779897                -3.634218
                      5.040000             -1019.648039                -0.676845               -16.160751                -3.015072
                      5.060000             -1019.966803                -0.995609               -15.739402                -2.593723
                      5.080000             -1020.278179                -1.306985               -15.411761                -2.266082
                      5.100000             -1020.583614                -1.612420               -15.140695                -1.995016
                      5.120000             -1020.884033                -1.912839               -14.908067                -1.762388
                      5.140000             -1021.180096                -2.208902               -14.703516                -1.557837
                      5.160000             -1021.472297                -2.501103               -14.520574                -1.374895
                      5.180000             -1021.761005                -2.789811               -14.354771                -1.209092
                      5.200000             -1022.046558                -3.075364               -14.203076                -1.057397
                      5.220000             -1022.329189                -3.357995               -14.063083                -0.917404
                      5.240000             -1022.609130                -3.637936               -13.933087                -0.787408
                      5.260000             -1022.886555                -3.915361               -13.811657                -0.665978
                      5.280000             -1023.161625                -4.190431               -13.697743                -0.552064
                      5.300000             -1023.434487                -4.463293               -13.590405                -0.444726
                      5.320000             -1023.705271                -4.734077               -13.488970                -0.343291
                      5.340000             -1023.974071                -5.002877               -13.392759                -0.247080
                      5.360000             -1024.240994                -5.269800               -13.301255                -0.155576
                      5.380000             -1024.506133                -5.534939               -13.214070                -0.068391
                      5.400000             -1024.769569                -5.798376               -13.130767                 0.014912
                      5.420000             -1025.031378                -6.060184               -13.051049                 0.094630
                      5.440000             -1025.291618                -6.320424               -12.974577                 0.171102
                      5.460000             -1025.550371                -6.579177               -12.901163                 0.244516
                      5.480000             -1025.807670                -6.836476               -12.830531                 0.315148
                      5.500000             -1026.063596                -7.092402               -12.762514                 0.383165
                      5.520000             -1026.318171                -7.346977               -12.696888                 0.448791
                      5.540000             -1026.571471                -7.600278               -12.633551                 0.512128
                      5.560000             -1026.823519                -7.852325               -12.572328                 0.573351
                      5.580000             -1027.074364                -8.103170               -12.513075                 0.632604
                      5.600000             -1027.324044                -8.352850               -12.455701                 0.689978
                      5.620000             -1027.572599                -8.601405               -12.400084                 0.745595
                      5.640000             -1027.820038                -8.848844               -12.346098                 0.799580
                      5.660000             -1028.066433                -9.095240               -12.293706                 0.851972
                      5.680000             -1028.311792                -9.340598               -12.242798                 0.902881
                      5.700000             -1028.556144                -9.584950               -12.193285                 0.952394
                      5.720000             -1028.799517                -9.828323               -12.145119                 1.000560
                      5.740000             -1029.041949               -10.070755               -12.098225                 1.047454
                      5.760000             -1029.283437               -10.312243               -12.052519                 1.093160
                      5.780000             -1029.524040               -10.552847               -12.007988                 1.137691
                      5.800000             -1029.763755               -10.792561               -11.964558                 1.181121
                      5.820000             -1030.002621               -11.031427               -11.922181                 1.223498
                      5.840000             -1030.240638               -11.269444               -11.880799                 1.264880
                      5.860000             -1030.477848               -11.506654               -11.840391                 1.305288
                      5.880000             -1030.714250               -11.743056               -11.800906                 1.344773
                      5.900000             -1030.949876               -11.978682               -11.762306                 1.383372
                      5.920000             -1031.184730               -12.213536               -11.724538                 1.421140
                      5.940000             -1031.418841               -12.447647               -11.687606                 1.458073
                      5.960000             -1031.652230               -12.681036               -11.651459                 1.494220
                      5.980000             -1031.884899               -12.913705               -11.616068                 1.529611
                      6.000000             -1032.116873               -13.145679               -11.581405                 1.564274
