#                            f                  Etot(f)          Etot(f)-Etot(0)                   eps(f)                    Pi(f)
                      9.000000             -2702.076652                 0.000000                 4.511663                 0.028476
                      9.050000             -2701.851138                 0.225514                 4.507835                 0.024647
                      9.100000             -2701.625841                 0.450812                 4.504245                 0.021058
                      9.150000             -2701.400479                 0.676174                 4.500924                 0.017737
                      9.200000             -2701.175678                 0.900975                 4.497706                 0.014519
                      9.250000             -2700.950856                 1.125796                 4.494609                 0.011422
                      9.300000             -2700.726015                 1.350637                 4.491736                 0.008549
                      9.350000             -2700.501492                 1.575160                 4.488933                 0.005746
                      9.400000             -2700.277404                 1.799248                 4.486249                 0.003061
                      9.450000             -2700.053127                 2.023525                 4.483611                 0.000423
                      9.500000             -2699.828991                 2.247661                 4.481181                -0.002007
                      9.550000             -2699.604763                 2.471889                 4.478827                -0.004360
                      9.600000             -2699.380878                 2.695774                 4.476587                -0.006601
                      9.650000             -2699.157274                 2.919378                 4.474415                -0.008772
                      9.700000             -2698.933512                 3.143141                 4.472311                -0.010877
                      9.750000             -2698.709829                 3.366823                 4.470309                -0.012878
                      9.800000             -2698.486362                 3.590290                 4.468390                -0.014797
                      9.850000             -2698.262989                 3.813663                 4.466541                -0.016646
                      9.900000             -2698.039974                 4.036678                 4.464633                -0.018555
                      9.950000             -2697.816561                 4.260091                 4.462942                -0.020246
                     10.000000             -2697.593465                 4.483188                 4.461227                -0.021960
