# Written on 30Jul2015 at 12:03:26 
# Input file comment: Sample kpoints
#  Kpt_idx  K_x (1/ang)       K_y (1/ang)        K_z (1/ang)       Energy (eV)
         1   0.000000000       0.000000000       0.000000000      -3.643753417    
         1   0.000000000       0.000000000       0.000000000      -3.544356429    
         1   0.000000000       0.000000000       0.000000000      -3.544355911    
         1   0.000000000       0.000000000       0.000000000      -3.246825579    
         1   0.000000000       0.000000000       0.000000000      -3.246824896    
         1   0.000000000       0.000000000       0.000000000      -2.753551374    
         1   0.000000000       0.000000000       0.000000000      -2.753550967    
         1   0.000000000       0.000000000       0.000000000      -2.070848324    
         1   0.000000000       0.000000000       0.000000000      -2.070848119    
         1   0.000000000       0.000000000       0.000000000      -1.222582538    
         1   0.000000000       0.000000000       0.000000000      -1.222582328    
         1   0.000000000       0.000000000       0.000000000     -0.5166474495    
         2  0.8055365778E-03   0.000000000       0.000000000      -3.643752199    
         2  0.8055365778E-03   0.000000000       0.000000000      -3.545426621    
         2  0.8055365778E-03   0.000000000       0.000000000      -3.543279410    
         2  0.8055365778E-03   0.000000000       0.000000000      -3.248633162    
         2  0.8055365778E-03   0.000000000       0.000000000      -3.245013271    
         2  0.8055365778E-03   0.000000000       0.000000000      -2.756780145    
         2  0.8055365778E-03   0.000000000       0.000000000      -2.750316048    
         2  0.8055365778E-03   0.000000000       0.000000000      -2.074264073    
         2  0.8055365778E-03   0.000000000       0.000000000      -2.067430041    
         2  0.8055365778E-03   0.000000000       0.000000000      -1.227783251    
         2  0.8055365778E-03   0.000000000       0.000000000      -1.217378361    
         2  0.8055365778E-03   0.000000000       0.000000000     -0.5166707500    
         3  0.1611073156E-02   0.000000000       0.000000000      -3.643748544    
         3  0.1611073156E-02   0.000000000       0.000000000      -3.546490719    
         3  0.1611073156E-02   0.000000000       0.000000000      -3.542196387    
         3  0.1611073156E-02   0.000000000       0.000000000      -3.250437080    
         3  0.1611073156E-02   0.000000000       0.000000000      -3.243197224    
         3  0.1611073156E-02   0.000000000       0.000000000      -2.760002902    
         3  0.1611073156E-02   0.000000000       0.000000000      -2.747074847    
         3  0.1611073156E-02   0.000000000       0.000000000      -2.077677694    
         3  0.1611073156E-02   0.000000000       0.000000000      -2.064009432    
         3  0.1611073156E-02   0.000000000       0.000000000      -1.232980576    
         3  0.1611073156E-02   0.000000000       0.000000000      -1.212171277    
         3  0.1611073156E-02   0.000000000       0.000000000     -0.5167406492    
         4  0.2416609734E-02   0.000000000       0.000000000      -3.643742452    
         4  0.2416609734E-02   0.000000000       0.000000000      -3.547548418    
         4  0.2416609734E-02   0.000000000       0.000000000      -3.541107147    
         4  0.2416609734E-02   0.000000000       0.000000000      -3.252237031    
         4  0.2416609734E-02   0.000000000       0.000000000      -3.241377057    
         4  0.2416609734E-02   0.000000000       0.000000000      -2.763219374    
         4  0.2416609734E-02   0.000000000       0.000000000      -2.743827640    
         4  0.2416609734E-02   0.000000000       0.000000000      -2.081089182    
         4  0.2416609734E-02   0.000000000       0.000000000      -2.060586293    
         4  0.2416609734E-02   0.000000000       0.000000000      -1.238174173    
         4  0.2416609734E-02   0.000000000       0.000000000      -1.206961424    
         4  0.2416609734E-02   0.000000000       0.000000000     -0.5168571408    
         5  0.3222146311E-02   0.000000000       0.000000000      -3.643733924    
         5  0.3222146311E-02   0.000000000       0.000000000      -3.548599673    
         5  0.3222146311E-02   0.000000000       0.000000000      -3.540011734    
         5  0.3222146311E-02   0.000000000       0.000000000      -3.254033049    
         5  0.3222146311E-02   0.000000000       0.000000000      -3.239552733    
         5  0.3222146311E-02   0.000000000       0.000000000      -2.766429491    
         5  0.3222146311E-02   0.000000000       0.000000000      -2.740574497    
         5  0.3222146311E-02   0.000000000       0.000000000      -2.084498635    
         5  0.3222146311E-02   0.000000000       0.000000000      -2.057160524    
         5  0.3222146311E-02   0.000000000       0.000000000      -1.243363809    
         5  0.3222146311E-02   0.000000000       0.000000000      -1.201749049    
         5  0.3222146311E-02   0.000000000       0.000000000     -0.5170202141    
         6  0.4027682889E-02   0.000000000       0.000000000      -3.643722959    
         6  0.4027682889E-02   0.000000000       0.000000000      -3.549644438    
         6  0.4027682889E-02   0.000000000       0.000000000      -3.538910193    
         6  0.4027682889E-02   0.000000000       0.000000000      -3.255825173    
         6  0.4027682889E-02   0.000000000       0.000000000      -3.237724212    
