#                            f                  Etot(f)          Etot(f)-Etot(0)                   eps(f)                    Pi(f)
                      4.000000              -994.154033                 0.000000               -32.744454                -6.851452
                      4.020000              -994.763244                -0.609211               -29.761429                -3.868427
                      4.040000              -995.350967                -1.196935               -29.070565                -3.177563
                      4.060000              -995.927469                -1.773436               -28.604470                -2.711469
                      4.080000              -996.495820                -2.341788               -28.244927                -2.351925
                      4.100000              -997.057665                -2.903632               -27.949580                -2.056579
                      4.120000              -997.614074                -3.460041               -27.697854                -1.804853
                      4.140000              -998.165778                -4.011745               -27.477903                -1.584901
                      4.160000              -998.713334                -4.559302               -27.282339                -1.389337
                      4.180000              -999.257188                -5.103155               -27.106189                -1.213187
                      4.200000              -999.797679                -5.643647               -26.945829                -1.052827
                      4.220000             -1000.335095                -6.181063               -26.798661                -0.905659
                      4.240000             -1000.869686                -6.715653               -26.662651                -0.769649
                      4.260000             -1001.401660                -7.247627               -26.536274                -0.643273
                      4.280000             -1001.931186                -7.777153               -26.418236                -0.525234
                      4.300000             -1002.458426                -8.304394               -26.307524                -0.414522
                      4.320000             -1002.983525                -8.829492               -26.203342                -0.310340
                      4.340000             -1003.506589                -9.352556               -26.104951                -0.211949
                      4.360000             -1004.027742                -9.873709               -26.011768                -0.118766
                      4.380000             -1004.547085               -10.393053               -25.923322                -0.030321
                      4.400000             -1005.064697               -10.910664               -25.839149                 0.053853
                      4.420000             -1005.580671               -11.426639               -25.758897                 0.134105
                      4.440000             -1006.095070               -11.941038               -25.682208                 0.210794
                      4.460000             -1006.607969               -12.453936               -25.608834                 0.284168
                      4.480000             -1007.119437               -12.965405               -25.538505                 0.354496
                      4.500000             -1007.629521               -13.475488               -25.470985                 0.422016
                      4.520000             -1008.138288               -13.984255               -25.406093                 0.486909
                      4.540000             -1008.645781               -14.491748               -25.343638                 0.549363
                      4.560000             -1009.152034               -14.998002               -25.283443                 0.609559
                      4.580000             -1009.657119               -15.503087               -25.225395                 0.667607
                      4.600000             -1010.161060               -16.007027               -25.169343                 0.723658
                      4.620000             -1010.663898               -16.509866               -25.115162                 0.777840
                      4.640000             -1011.165668               -17.011635               -25.062754                 0.830248
                      4.660000             -1011.666413               -17.512380               -25.012013                 0.880989
                      4.680000             -1012.166151               -18.012119               -24.962832                 0.930169
                      4.700000             -1012.664925               -18.510893               -24.915154                 0.977848
                      4.720000             -1013.162763               -19.008731               -24.868886                 1.024115
                      4.740000             -1013.659682               -19.505650               -24.823956                 1.069046
                      4.760000             -1014.155719               -20.001686               -24.780292                 1.112710
                      4.780000             -1014.650895               -20.496862               -24.737843                 1.155159
                      4.800000             -1015.145237               -20.991204               -24.696546                 1.196456
                      4.820000             -1015.638756               -21.484723               -24.656345                 1.236656
                      4.840000             -1016.131482               -21.977450               -24.617182                 1.275820
                      4.860000             -1016.623439               -22.469406               -24.579031                 1.313971
                      4.880000             -1017.114638               -22.960605               -24.541835                 1.351167
                      4.900000             -1017.605110               -23.451078               -24.505557                 1.387445
                      4.920000             -1018.094862               -23.940829               -24.470156                 1.422846
                      4.940000             -1018.583914               -24.429882               -24.435591                 1.457411
                      4.960000             -1019.072279               -24.918246               -24.401837                 1.491165
                      4.980000             -1019.559981               -25.405948               -24.368858                 1.524143
                      5.000000             -1020.047034               -25.893002               -24.336626                 1.556376
