#                            f                  Etot(f)          Etot(f)-Etot(0)                   eps(f)                    Pi(f)
                      6.000000             -1023.856522                 0.000000                 2.510553                 0.016465
                      6.020000             -1023.806314                 0.050208                 2.509705                 0.015617
                      6.040000             -1023.756200                 0.100322                 2.508851                 0.014763
                      6.060000             -1023.705969                 0.150553                 2.508042                 0.013954
                      6.080000             -1023.655847                 0.200675                 2.507244                 0.013155
                      6.100000             -1023.605683                 0.250839                 2.506465                 0.012376
                      6.120000             -1023.555628                 0.300894                 2.505650                 0.011562
                      6.140000             -1023.505536                 0.350986                 2.504912                 0.010824
                      6.160000             -1023.455437                 0.401085                 2.504160                 0.010072
                      6.180000             -1023.405405                 0.451117                 2.503446                 0.009358
                      6.200000             -1023.355331                 0.501191                 2.502704                 0.008616
                      6.220000             -1023.305308                 0.551214                 2.502002                 0.007914
                      6.240000             -1023.255264                 0.601258                 2.501326                 0.007238
                      6.260000             -1023.205291                 0.651231                 2.500625                 0.006537
                      6.280000             -1023.155261                 0.701261                 2.499984                 0.005896
                      6.300000             -1023.105279                 0.751243                 2.499333                 0.005245
                      6.320000             -1023.055315                 0.801207                 2.498666                 0.004578
                      6.340000             -1023.005384                 0.851138                 2.498041                 0.003953
                      6.360000             -1022.955345                 0.901177                 2.497470                 0.003382
                      6.380000             -1022.905409                 0.951113                 2.496843                 0.002755
                      6.400000             -1022.855517                 1.001005                 2.496236                 0.002148
                      6.420000             -1022.805559                 1.050963                 2.495651                 0.001563
                      6.440000             -1022.755731                 1.100791                 2.495080                 0.000992
                      6.460000             -1022.705806                 1.150716                 2.494478                 0.000390
                      6.480000             -1022.655964                 1.200558                 2.493948                -0.000140
                      6.500000             -1022.606035                 1.250487                 2.493388                -0.000700
                      6.520000             -1022.556257                 1.300265                 2.492873                -0.001215
                      6.540000             -1022.506374                 1.350148                 2.492309                -0.001780
                      6.560000             -1022.456522                 1.400000                 2.491815                -0.002273
                      6.580000             -1022.406707                 1.449815                 2.491278                -0.002810
                      6.600000             -1022.356878                 1.499644                 2.490801                -0.003288
                      6.620000             -1022.307111                 1.549411                 2.490263                -0.003825
                      6.640000             -1022.257312                 1.599210                 2.489781                -0.004307
                      6.660000             -1022.207493                 1.649029                 2.489298                -0.004790
                      6.680000             -1022.157709                 1.698813                 2.488826                -0.005262
                      6.700000             -1022.107899                 1.748623                 2.488381                -0.005707
                      6.720000             -1022.058212                 1.798310                 2.487903                -0.006185
                      6.740000             -1022.008448                 1.848074                 2.487460                -0.006628
                      6.760000             -1021.958648                 1.897874                 2.486994                -0.007094
                      6.780000             -1021.908964                 1.947558                 2.486578                -0.007511
                      6.800000             -1021.859209                 1.997313                 2.486124                -0.007964
                      6.820000             -1021.809481                 2.047041                 2.485708                -0.008380
                      6.840000             -1021.759859                 2.096663                 2.485244                -0.008844
                      6.860000             -1021.710160                 2.146362                 2.484855                -0.009233
                      6.880000             -1021.660415                 2.196107                 2.484445                -0.009643
                      6.900000             -1021.610761                 2.245761                 2.484046                -0.010042
                      6.920000             -1021.561049                 2.295473                 2.483660                -0.010428
                      6.940000             -1021.511368                 2.345154                 2.483243                -0.010845
                      6.960000             -1021.461788                 2.394734                 2.482875                -0.011213
                      6.980000             -1021.412091                 2.444431                 2.482471                -0.011617
                      7.000000             -1021.362434                 2.494088                 2.482119                -0.011969
