#                            f                  Etot(f)          Etot(f)-Etot(0)                   eps(f)                    Pi(f)
                     17.000000            -14301.152875                 0.000000               -15.720921                 0.007363
                     17.050000            -14301.938834                -0.785959               -15.722042                 0.006243
                     17.100000            -14302.724815                -1.571940               -15.723085                 0.005199
                     17.150000            -14303.511167                -2.358292               -15.724031                 0.004253
                     17.200000            -14304.297078                -3.144203               -15.725027                 0.003257
                     17.250000            -14305.083250                -3.930375               -15.725820                 0.002464
                     17.300000            -14305.869999                -4.717124               -15.726702                 0.001582
                     17.350000            -14306.656145                -5.503270               -15.727447                 0.000838
                     17.400000            -14307.442562                -6.289688               -15.728114                 0.000170
                     17.450000            -14308.228824                -7.075949               -15.728742                -0.000458
                     17.500000            -14309.015255                -7.862380               -15.729466                -0.001182
                     17.550000            -14309.801689                -8.648814               -15.730009                -0.001724
                     17.600000            -14310.588523                -9.435648               -15.730633                -0.002349
                     17.650000            -14311.375013               -10.222138               -15.731176                -0.002892
                     17.700000            -14312.161177               -11.008302               -15.731581                -0.003297
                     17.750000            -14312.947758               -11.794884               -15.732052                -0.003768
                     17.800000            -14313.734526               -12.581652               -15.732618                -0.004334
                     17.850000            -14314.521016               -13.368141               -15.732989                -0.004705
                     17.900000            -14315.307657               -14.154782               -15.733425                -0.005141
                     17.950000            -14316.094709               -14.941834               -15.733879                -0.005595
                     18.000000            -14316.881159               -15.728284               -15.734189                -0.005905
