#                            f                  Etot(f)          Etot(f)-Etot(0)                   eps(f)                    Pi(f)
                     30.000000           -146237.315755                 0.000000               -77.281566                 0.161025
                     30.050000           -146241.182558                -3.866804               -77.367703                 0.074888
                     30.100000           -146245.051833                -7.736078               -77.399612                 0.042979
                     30.150000           -146248.922346               -11.606592               -77.418055                 0.024536
                     30.200000           -146252.793564               -15.477809               -77.429930                 0.012661
                     30.250000           -146256.665258               -19.349504               -77.438144                 0.004447
                     30.300000           -146260.537323               -23.221568               -77.444182                -0.001591
                     30.350000           -146264.409642               -27.093887               -77.448723                -0.006132
                     30.400000           -146268.282189               -30.966435               -77.452296                -0.009705
                     30.450000           -146272.154881               -34.839127               -77.455110                -0.012520
                     30.500000           -146276.027148               -38.711393               -77.457268                -0.014677
                     30.550000           -146279.900091               -42.584336               -77.459146                -0.016555
                     30.600000           -146283.773011               -46.457257               -77.460591                -0.018001
                     30.650000           -146287.646043               -50.330288               -77.461776                -0.019185
                     30.700000           -146291.519191               -54.203437               -77.462859                -0.020269
                     30.750000           -146295.392333               -58.076578               -77.463690                -0.021099
                     30.800000           -146299.265539               -61.949784               -77.464461                -0.021870
                     30.850000           -146303.138571               -65.822817               -77.465013                -0.022422
                     30.900000           -146307.011869               -69.696115               -77.465588                -0.022997
                     30.950000           -146310.885109               -73.569354               -77.466041                -0.023450
                     31.000000           -146314.758345               -77.442591               -77.466400                -0.023809
