#                            f                  Etot(f)          Etot(f)-Etot(0)                   eps(f)                    Pi(f)
                      3.000000              -390.391592                 0.000000               -12.191995                -2.743328
                      3.050000              -390.933482                -0.541890               -10.487585                -1.038918
                      3.100000              -391.448995                -1.057403               -10.166157                -0.717490
                      3.150000              -391.951774                -1.560182                -9.959209                -0.510542
                      3.200000              -392.445692                -2.054099                -9.805297                -0.356630
                      3.250000              -392.932741                -2.541148                -9.682592                -0.233925
                      3.300000              -393.414229                -3.022636                -9.580909                -0.132242
                      3.350000              -393.891047                -3.499454                -9.494364                -0.045697
                      3.400000              -394.363811                -3.972219                -9.419132                 0.029535
                      3.450000              -394.833057                -4.441465                -9.352866                 0.095801
                      3.500000              -395.299187                -4.907594                -9.293818                 0.154849
                      3.550000              -395.762503                -5.370911                -9.240649                 0.208018
                      3.600000              -396.223300                -5.831708                -9.192449                 0.256218
                      3.650000              -396.681783                -6.290191                -9.148415                 0.300252
                      3.700000              -397.138168                -6.746576                -9.108001                 0.340666
                      3.750000              -397.592624                -7.201032                -9.070724                 0.377943
                      3.800000              -398.045260                -7.653668                -9.036128                 0.412539
                      3.850000              -398.496241                -8.104648                -9.003954                 0.444713
                      3.900000              -398.945679                -8.554087                -8.973927                 0.474740
                      3.950000              -399.393639                -9.002046                -8.945762                 0.502905
                      4.000000              -399.840259                -9.448667                -8.919335                 0.529332
