#                            f                  Etot(f)          Etot(f)-Etot(0)                   eps(f)                    Pi(f)
                     17.000000            -14361.661559                 0.000000               -24.245350                -6.675206
                     17.050000            -14362.735980                -1.074421               -20.640033                -3.069889
                     17.100000            -14363.745116                -2.083557               -19.797560                -2.227416
                     17.150000            -14364.719982                -3.058423               -19.226374                -1.656230
                     17.200000            -14365.669825                -4.008266               -18.783953                -1.213809
                     17.250000            -14366.599571                -4.938012               -18.419208                -0.849064
                     17.300000            -14367.512537                -5.850978               -18.107236                -0.537092
                     17.350000            -14368.410913                -6.749354               -17.833820                -0.263676
                     17.400000            -14369.296364                -7.634805               -17.590020                -0.019876
                     17.450000            -14370.170262                -8.508703               -17.369741                 0.200403
                     17.500000            -14371.033645                -9.372086               -17.168697                 0.401447
                     17.550000            -14371.887385               -10.225826               -16.983678                 0.586466
                     17.600000            -14372.732161               -11.070602               -16.812272                 0.757872
                     17.650000            -14373.568728               -11.907169               -16.652574                 0.917570
                     17.700000            -14374.397575               -12.736016               -16.503082                 1.067061
                     17.750000            -14375.219147               -13.557588               -16.362564                 1.207580
                     17.800000            -14376.033920               -14.372361               -16.229988                 1.340156
                     17.850000            -14376.842251               -15.180692               -16.104529                 1.465614
                     17.900000            -14377.644406               -15.982847               -15.985466                 1.584678
                     17.950000            -14378.440815               -16.779256               -15.872183                 1.697961
                     18.000000            -14379.231703               -17.570144               -15.764175                 1.805969
