#                            f                  Etot(f)          Etot(f)-Etot(0)                   eps(f)                    Pi(f)
                      1.000000               -52.959090                 0.000000               -29.967091                -3.487649
                      1.050000               -54.375628                -1.416538               -27.876043                -1.396601
                      1.100000               -55.757643                -2.798553               -27.443831                -0.964389
                      1.150000               -57.122381                -4.163291               -27.162059                -0.682616
                      1.200000               -58.474996                -5.515906               -26.951863                -0.472420
                      1.250000               -59.818252                -6.859162               -26.784775                -0.305333
                      1.300000               -61.153931                -8.194841               -26.646898                -0.167455
                      1.350000               -62.483273                -9.524183               -26.530212                -0.050769
                      1.400000               -63.807196               -10.848106               -26.429613                 0.049830
                      1.450000               -65.126419               -12.167329               -26.341680                 0.137762
                      1.500000               -66.441510               -13.482420               -26.263961                 0.215481
                      1.550000               -67.752929               -14.793838               -26.194633                 0.284809
                      1.600000               -69.061063               -16.101972               -26.132328                 0.347115
                      1.650000               -70.366239               -17.407149               -26.075972                 0.403470
                      1.700000               -71.668719               -18.709629               -26.024694                 0.454748
                      1.750000               -72.968759               -20.009669               -25.977826                 0.501616
                      1.800000               -74.266546               -21.307455               -25.934791                 0.544652
                      1.850000               -75.562266               -22.603176               -25.895118                 0.584324
                      1.900000               -76.856076               -23.896986               -25.858421                 0.621022
                      1.950000               -78.148130               -25.189040               -25.824377                 0.655066
                      2.000000               -79.438533               -26.479443               -25.792685                 0.686758
