#                            f                  Etot(f)          Etot(f)-Etot(0)                   eps(f)                    Pi(f)
                      5.000000             -1011.960502                 0.000000               -11.850727                 0.044540
                      5.020000             -1012.197534                -0.237032               -11.853535                 0.041732
                      5.040000             -1012.434647                -0.474145               -11.856271                 0.038995
                      5.060000             -1012.671761                -0.711260               -11.858842                 0.036425
                      5.080000             -1012.908959                -0.948457               -11.861349                 0.033918
                      5.100000             -1013.146255                -1.185753               -11.863782                 0.031485
                      5.120000             -1013.383538                -1.423037               -11.866138                 0.029129
                      5.140000             -1013.597654                -1.637152               -11.887987                 0.007280
                      5.160000             -1013.835427                -1.874925               -11.889616                 0.005651
                      5.180000             -1014.095772                -2.135271               -11.872718                 0.022549
                      5.200000             -1014.333237                -2.372735               -11.874751                 0.020515
                      5.220000             -1014.570738                -2.610236               -11.876699                 0.018568
                      5.240000             -1014.808293                -2.847792               -11.878607                 0.016660
                      5.260000             -1015.045929                -3.085427               -11.880482                 0.014785
                      5.280000             -1015.283540                -3.323039               -11.882256                 0.013011
                      5.300000             -1015.521225                -3.560723               -11.884005                 0.011261
                      5.320000             -1015.758908                -3.798407               -11.885682                 0.009585
                      5.340000             -1015.996678                -4.036176               -11.887336                 0.007931
                      5.360000             -1016.234431                -4.273930               -11.888930                 0.006337
                      5.380000             -1016.452936                -4.492434               -11.904681                -0.009415
                      5.400000             -1016.690988                -4.730487               -11.905804                -0.010537
                      5.420000             -1016.947894                -4.987392               -11.893390                 0.001877
                      5.440000             -1017.185769                -5.225267               -11.894802                 0.000465
                      5.460000             -1017.423690                -5.463189               -11.896181                -0.000914
                      5.480000             -1017.661620                -5.701118               -11.897532                -0.002265
                      5.500000             -1017.899619                -5.939118               -11.898836                -0.003569
                      5.520000             -1018.137617                -6.177115               -11.900104                -0.004837
                      5.540000             -1018.375629                -6.415128               -11.901356                -0.006089
                      5.560000             -1018.613710                -6.653209               -11.902555                -0.007288
                      5.580000             -1018.851762                -6.891260               -11.903737                -0.008470
                      5.600000             -1019.089846                -7.129345               -11.904885                -0.009618
                      5.620000             -1019.327961                -7.367459               -11.905994                -0.010727
                      5.640000             -1019.549901                -7.589400               -11.917588                -0.022321
                      5.660000             -1019.788262                -7.827761               -11.918439                -0.023172
                      5.680000             -1020.026622                -8.066120               -11.919254                -0.023987
                      5.700000             -1020.280631                -8.320129               -11.910201                -0.014934
                      5.720000             -1020.518858                -8.558357               -11.911203                -0.015936
                      5.740000             -1020.757079                -8.796577               -11.912158                -0.016891
                      5.760000             -1020.995375                -9.034873               -11.913142                -0.017875
                      5.780000             -1021.233631                -9.273130               -11.914045                -0.018778
                      5.800000             -1021.471916                -9.511415               -11.914964                -0.019697
                      5.820000             -1021.710268                -9.749766               -11.915836                -0.020569
                      5.840000             -1021.948516                -9.988014               -11.916688                -0.021421
                      5.860000             -1022.186868               -10.226367               -11.917519                -0.022252
                      5.880000             -1022.411220               -10.450719               -11.926572                -0.031305
                      5.900000             -1022.649789               -10.689287               -11.927221                -0.031955
                      5.920000             -1022.888347               -10.927845               -11.927884                -0.032617
                      5.940000             -1023.140439               -11.179938               -11.920754                -0.025487
                      5.960000             -1023.378892               -11.418391               -11.921533                -0.026266
                      5.980000             -1023.617305               -11.656803               -11.922258                -0.026991
                      6.000000             -1023.855768               -11.895267               -11.923014                -0.027747
