#                            f                  Etot(f)          Etot(f)-Etot(0)                   eps(f)                    Pi(f)
                      6.000000             -1032.116873                 0.000000                -5.808048                -6.389872
                      6.020000             -1032.192779                -0.075906                -3.173474                -3.755298
                      6.040000             -1032.249447                -0.132574                -2.548415                -3.130239
                      6.060000             -1032.295912                -0.179039                -2.121220                -2.703044
                      6.080000             -1032.334856                -0.217983                -1.787798                -2.369622
                      6.100000             -1032.367754                -0.250881                -1.511016                -2.092840
                      6.120000             -1032.395521                -0.278648                -1.272734                -1.854559
                      6.140000             -1032.418822                -0.301949                -1.062593                -1.644417
                      6.160000             -1032.438138                -0.321265                -0.874120                -1.455944
                      6.180000             -1032.453863                -0.336991                -0.702846                -1.284670
                      6.200000             -1032.466324                -0.349451                -0.545740                -1.127564
                      6.220000             -1032.475747                -0.358874                -0.400392                -0.982216
                      6.240000             -1032.482381                -0.365509                -0.265099                -0.846923
                      6.260000             -1032.486388                -0.369515                -0.138427                -0.720251
                      6.280000             -1032.487949                -0.371076                -0.019326                -0.601150
                      6.300000             -1032.487179                -0.370306                 0.093146                -0.488679
                      6.320000             -1032.484236                -0.367363                 0.199661                -0.382163
                      6.340000             -1032.479216                -0.362344                 0.300900                -0.280924
                      6.360000             -1032.472204                -0.355331                 0.397382                -0.184442
                      6.380000             -1032.463328                -0.346456                 0.489494                -0.092330
                      6.400000             -1032.452639                -0.335766                 0.577675                -0.004149
                      6.420000             -1032.440234                -0.323361                 0.662221                 0.080397
                      6.440000             -1032.426148                -0.309275                 0.743475                 0.161651
                      6.460000             -1032.410492                -0.293619                 0.821623                 0.239799
                      6.480000             -1032.393290                -0.276417                 0.896943                 0.315119
                      6.500000             -1032.374620                -0.257747                 0.969602                 0.387777
                      6.520000             -1032.354497                -0.237625                 1.039826                 0.458002
                      6.540000             -1032.333018                -0.216146                 1.107716                 0.525892
                      6.560000             -1032.310196                -0.193324                 1.173449                 0.591625
                      6.580000             -1032.286081                -0.169208                 1.237169                 0.655345
                      6.600000             -1032.260703                -0.143830                 1.298969                 0.717145
                      6.620000             -1032.234120                -0.117248                 1.358970                 0.777146
                      6.640000             -1032.206336                -0.089463                 1.417298                 0.835474
                      6.660000             -1032.177420                -0.060548                 1.473993                 0.892169
                      6.680000             -1032.147372                -0.030499                 1.529166                 0.947342
                      6.700000             -1032.116243                 0.000630                 1.582903                 1.001079
                      6.720000             -1032.084052                 0.032821                 1.635254                 1.053430
                      6.740000             -1032.050834                 0.066039                 1.686297                 1.104473
                      6.760000             -1032.016595                 0.100277                 1.736114                 1.154290
                      6.780000             -1031.981370                 0.135502                 1.784719                 1.202895
                      6.800000             -1031.945199                 0.171673                 1.832187                 1.250363
                      6.820000             -1031.908082                 0.208790                 1.878567                 1.296743
                      6.840000             -1031.870049                 0.246823                 1.923916                 1.342092
                      6.860000             -1031.831111                 0.285762                 1.968258                 1.386433
                      6.880000             -1031.791310                 0.325563                 2.011641                 1.429817
                      6.900000             -1031.750651                 0.366221                 2.054105                 1.472281
                      6.920000             -1031.709131                 0.407742                 2.095705                 1.513881
                      6.940000             -1031.666808                 0.450065                 2.136436                 1.554612
                      6.960000             -1031.623663                 0.493210                 2.176351                 1.594526
                      6.980000             -1031.579743                 0.537130                 2.215476                 1.633652
                      7.000000             -1031.535049                 0.581824                 2.253843                 1.672019
