#                            f                  Etot(f)          Etot(f)-Etot(0)                   eps(f)                    Pi(f)
                      6.000000             -1026.609946                 0.000000                -1.575751                 0.008459
                      6.050000             -1026.688814                -0.078868                -1.576863                 0.007347
                      6.100000             -1026.767572                -0.157626                -1.577807                 0.006403
                      6.150000             -1026.846572                -0.236626                -1.578806                 0.005404
                      6.200000             -1026.925550                -0.315604                -1.579718                 0.004492
                      6.250000             -1027.004658                -0.394712                -1.580619                 0.003591
                      6.300000             -1027.083681                -0.473735                -1.581412                 0.002798
                      6.350000             -1027.162830                -0.552884                -1.582200                 0.002010
                      6.400000             -1027.241944                -0.631998                -1.582930                 0.001280
                      6.450000             -1027.321177                -0.711231                -1.583639                 0.000571
                      6.500000             -1027.400437                -0.790491                -1.584349                -0.000139
                      6.550000             -1027.479560                -0.869614                -1.584942                -0.000732
                      6.600000             -1027.558891                -0.948945                -1.585564                -0.001354
                      6.650000             -1027.638239                -1.028293                -1.586168                -0.001958
                      6.700000             -1027.717536                -1.107590                -1.586727                -0.002517
                      6.750000             -1027.796930                -1.186984                -1.587268                -0.003058
                      6.800000             -1027.876332                -1.266386                -1.587791                -0.003581
                      6.850000             -1027.955732                -1.345786                -1.588277                -0.004067
                      6.900000             -1028.035203                -1.425257                -1.588763                -0.004553
                      6.950000             -1028.114693                -1.504747                -1.589249                -0.005038
                      7.000000             -1028.194156                -1.584210                -1.589675                -0.005464
