#                            f                  Etot(f)          Etot(f)-Etot(0)                   eps(f)                    Pi(f)
                      5.000000             -1014.772578                 0.000000               -11.738113                 0.031103
                      5.050000             -1015.359634                -0.587056               -11.743093                 0.026123
                      5.100000             -1015.946893                -1.174316               -11.747580                 0.021636
                      5.150000             -1016.534401                -1.761823               -11.751632                 0.017583
                      5.200000             -1017.122116                -2.349538               -11.755318                 0.013897
                      5.250000             -1017.709992                -2.937414               -11.758699                 0.010517
                      5.300000             -1018.297999                -3.525421               -11.761742                 0.007474
                      5.350000             -1018.886209                -4.113631               -11.764575                 0.004641
                      5.400000             -1019.474514                -4.701936               -11.767176                 0.002039
                      5.450000             -1020.062962                -5.290384               -11.769571                -0.000356
                      5.500000             -1020.651467                -5.878889               -11.771745                -0.002529
                      5.550000             -1021.240139                -6.467561               -11.773808                -0.004593
                      5.600000             -1021.828925                -7.056347               -11.775726                -0.006510
                      5.650000             -1022.417742                -7.645165               -11.777513                -0.008298
                      5.700000             -1023.006667                -8.234090               -11.779162                -0.009946
                      5.750000             -1023.595691                -8.823114               -11.780715                -0.011499
                      5.800000             -1024.184814                -9.412237               -11.782213                -0.012997
                      5.850000             -1024.773973               -10.001395               -11.783578                -0.014363
                      5.900000             -1025.363190               -10.590612               -11.784868                -0.015653
                      5.950000             -1025.952439               -11.179861               -11.786085                -0.016869
                      6.000000             -1026.541793               -11.769216               -11.787221                -0.018006
