#                            f                  Etot(f)          Etot(f)-Etot(0)                   eps(f)                    Pi(f)
                      4.000000              -987.670545                 0.000000               -23.248015                 1.463543
                      4.020000              -988.143401                -0.472856               -23.835433                 0.876125
                      4.040000              -988.622318                -0.951773               -24.039100                 0.672458
                      4.060000              -989.104547                -1.434002               -24.173010                 0.538548
                      4.080000              -989.589043                -1.918499               -24.271914                 0.439644
                      4.100000              -990.075259                -2.404714               -24.349344                 0.362214
                      4.120000              -990.562906                -2.892361               -24.412191                 0.299367
                      4.140000              -991.051691                -3.381146               -24.464507                 0.247051
                      4.160000              -991.541438                -3.870893               -24.508834                 0.202724
                      4.180000              -992.032033                -4.361488               -24.546964                 0.164594
                      4.200000              -992.523298                -4.852753               -24.580136                 0.131422
                      4.220000              -993.015212                -5.344667               -24.609265                 0.102293
                      4.240000              -993.507661                -5.837116               -24.635084                 0.076474
                      4.260000              -994.000593                -6.330048               -24.658137                 0.053421
                      4.280000              -994.493990                -6.823446               -24.678808                 0.032750
                      4.300000              -994.987753                -7.317208               -24.697477                 0.014081
                      4.320000              -995.481886                -7.811342               -24.714422                -0.002864
                      4.340000              -995.976307                -8.305763               -24.729850                -0.018292
                      4.360000              -996.471073                -8.800528               -24.743958                -0.032401
                      4.380000              -996.966084                -9.295540               -24.756944                -0.045386
                      4.400000              -997.461359                -9.790814               -24.768875                -0.057318
                      4.420000              -997.956844               -10.286299               -24.779943                -0.068385
                      4.440000              -998.452534               -10.781989               -24.790180                -0.078622
                      4.460000              -998.948460               -11.277915               -24.799694                -0.088137
                      4.480000              -999.444538               -11.773993               -24.808536                -0.096979
                      4.500000              -999.940797               -12.270252               -24.816837                -0.105279
                      4.520000             -1000.437209               -12.766665               -24.824563                -0.113005
                      4.540000             -1000.933797               -13.263252               -24.831839                -0.120281
                      4.560000             -1001.430509               -13.759965               -24.838661                -0.127103
                      4.580000             -1001.927338               -14.256793               -24.845090                -0.133532
                      4.600000             -1002.424340               -14.753795               -24.851164                -0.139606
                      4.620000             -1002.921416               -15.250871               -24.856879                -0.145322
                      4.640000             -1003.418591               -15.748046               -24.862289                -0.150732
                      4.660000             -1003.915879               -16.245335               -24.867415                -0.155857
                      4.680000             -1004.413306               -16.742761               -24.872270                -0.160712
                      4.700000             -1004.910803               -17.240258               -24.876904                -0.165346
                      4.720000             -1005.408375               -17.737830               -24.881286                -0.169728
                      4.740000             -1005.906068               -18.235523               -24.885475                -0.173917
                      4.760000             -1006.403812               -18.733267               -24.889479                -0.177922
                      4.780000             -1006.901645               -19.231101               -24.893275                -0.181717
                      4.800000             -1007.399573               -19.729028               -24.896917                -0.185359
                      4.820000             -1007.897524               -20.226980               -24.900371                -0.188814
                      4.840000             -1008.395569               -20.725024               -24.903708                -0.192151
                      4.860000             -1008.893704               -21.223159               -24.906916                -0.195359
                      4.880000             -1009.391859               -21.721315               -24.909965                -0.198407
                      4.900000             -1009.890103               -22.219558               -24.912912                -0.201354
                      4.920000             -1010.388408               -22.717864               -24.915730                -0.204172
                      4.940000             -1010.886756               -23.216211               -24.918441                -0.206883
                      4.960000             -1011.385134               -23.714589               -24.921050                -0.209492
                      4.980000             -1011.883599               -24.213054               -24.923557                -0.211999
                      5.000000             -1012.382102               -24.711558               -24.925984                -0.214426
