#                            f                  Etot(f)          Etot(f)-Etot(0)                   eps(f)                    Pi(f)
                      6.000000             -1023.467337                 0.000000                -1.847046                 0.014473
                      6.020000             -1023.504197                -0.036861                -1.847757                 0.013762
                      6.040000             -1023.541202                -0.073866                -1.848515                 0.013004
                      6.060000             -1023.578175                -0.110838                -1.849212                 0.012307
                      6.080000             -1023.615267                -0.147930                -1.849920                 0.011599
                      6.100000             -1023.652262                -0.184925                -1.850613                 0.010906
                      6.120000             -1023.689327                -0.221990                -1.851337                 0.010181
                      6.140000             -1023.726378                -0.259042                -1.851987                 0.009532
                      6.160000             -1023.763410                -0.296073                -1.852648                 0.008871
                      6.180000             -1023.800370                -0.333033                -1.853187                 0.008332
                      6.200000             -1023.837451                -0.370114                -1.853799                 0.007719
                      6.220000             -1023.874552                -0.407215                -1.854451                 0.007068
                      6.240000             -1023.911691                -0.444355                -1.855056                 0.006462
                      6.260000             -1023.948781                -0.481444                -1.855630                 0.005889
                      6.280000             -1023.985944                -0.518607                -1.856224                 0.005294
                      6.300000             -1024.023066                -0.555730                -1.856783                 0.004736
                      6.320000             -1024.060213                -0.592876                -1.857338                 0.004181
                      6.340000             -1024.097421                -0.630085                -1.857931                 0.003588
                      6.360000             -1024.134677                -0.667340                -1.858480                 0.003039
                      6.380000             -1024.171760                -0.704424                -1.858970                 0.002549
                      6.400000             -1024.208914                -0.741578                -1.859482                 0.002037
                      6.420000             -1024.246131                -0.778794                -1.859982                 0.001537
                      6.440000             -1024.283376                -0.816039                -1.860522                 0.000997
                      6.460000             -1024.320629                -0.853292                -1.861005                 0.000514
                      6.480000             -1024.357842                -0.890506                -1.861507                 0.000012
                      6.500000             -1024.395093                -0.927757                -1.861971                -0.000453
                      6.520000             -1024.432336                -0.964999                -1.862442                -0.000923
                      6.540000             -1024.469620                -1.002284                -1.862901                -0.001382
                      6.560000             -1024.506877                -1.039540                -1.863344                -0.001825
                      6.580000             -1024.544054                -1.076718                -1.863788                -0.002269
                      6.600000             -1024.581337                -1.114001                -1.864212                -0.002693
                      6.620000             -1024.618610                -1.151274                -1.864639                -0.003120
                      6.640000             -1024.655999                -1.188663                -1.865087                -0.003568
                      6.660000             -1024.693279                -1.225943                -1.865494                -0.003975
                      6.680000             -1024.730643                -1.263307                -1.865923                -0.004404
                      6.700000             -1024.767990                -1.300653                -1.866352                -0.004833
                      6.720000             -1024.805363                -1.338026                -1.866747                -0.005228
                      6.740000             -1024.842688                -1.375352                -1.867146                -0.005627
                      6.760000             -1024.880055                -1.412719                -1.867521                -0.006002
                      6.780000             -1024.917379                -1.450043                -1.867914                -0.006395
                      6.800000             -1024.954731                -1.487395                -1.868287                -0.006768
                      6.820000             -1024.992062                -1.524725                -1.868632                -0.007113
                      6.840000             -1025.029418                -1.562082                -1.868983                -0.007465
                      6.860000             -1025.066919                -1.599582                -1.869416                -0.007897
                      6.880000             -1025.104299                -1.636963                -1.869763                -0.008245
                      6.900000             -1025.141747                -1.674410                -1.870116                -0.008597
                      6.920000             -1025.179145                -1.711809                -1.870465                -0.008946
                      6.940000             -1025.216571                -1.749234                -1.870795                -0.009276
                      6.960000             -1025.253970                -1.786634                -1.871143                -0.009624
                      6.980000             -1025.291364                -1.824028                -1.871466                -0.009947
                      7.000000             -1025.328855                -1.861519                -1.871804                -0.010286
