#                            f                  Etot(f)          Etot(f)-Etot(0)                   eps(f)                    Pi(f)
                      6.000000             -1030.437433                 0.000000                -8.624697                -5.283164
                      6.020000             -1030.576727                -0.139294                -6.451578                -3.110045
                      6.040000             -1030.700055                -0.262622                -5.933139                -2.591606
                      6.060000             -1030.814942                -0.377509                -5.579526                -2.237993
                      6.080000             -1030.923620                -0.486187                -5.303546                -1.962013
                      6.100000             -1031.027291                -0.589858                -5.074516                -1.732983
                      6.120000             -1031.126729                -0.689296                -4.877453                -1.535920
                      6.140000             -1031.222480                -0.785047                -4.703710                -1.362177
                      6.160000             -1031.314920                -0.877487                -4.547658                -1.206125
                      6.180000             -1031.404419                -0.966986                -4.406151                -1.064618
                      6.200000             -1031.491192                -1.053759                -4.276129                -0.934596
                      6.220000             -1031.575465                -1.138031                -4.155846                -0.814313
                      6.240000             -1031.657423                -1.219990                -4.043905                -0.702372
                      6.260000             -1031.737231                -1.299798                -3.939161                -0.597628
                      6.280000             -1031.814995                -1.377562                -3.840582                -0.499050
                      6.300000             -1031.890848                -1.453415                -3.747549                -0.406017
                      6.320000             -1031.964883                -1.527450                -3.659342                -0.317809
                      6.340000             -1032.037212                -1.599779                -3.575559                -0.234026
                      6.360000             -1032.107888                -1.670455                -3.495667                -0.154135
                      6.380000             -1032.177020                -1.739587                -3.419400                -0.077867
                      6.400000             -1032.244645                -1.807212                -3.346347                -0.004814
                      6.420000             -1032.310860                -1.873427                -3.276367                 0.065166
                      6.440000             -1032.375696                -1.938263                -3.209088                 0.132445
                      6.460000             -1032.439197                -2.001764                -3.144303                 0.197230
                      6.480000             -1032.501452                -2.064019                -3.081948                 0.259584
                      6.500000             -1032.562470                -2.125037                -3.021735                 0.319797
                      6.520000             -1032.622282                -2.184849                -2.963519                 0.378014
                      6.540000             -1032.680987                -2.243554                -2.907280                 0.434253
                      6.560000             -1032.738569                -2.301136                -2.852785                 0.488748
                      6.580000             -1032.795090                -2.357657                -2.799998                 0.541535
                      6.600000             -1032.850544                -2.413110                -2.748715                 0.592817
                      6.620000             -1032.905018                -2.467585                -2.698986                 0.642547
                      6.640000             -1032.958488                -2.521054                -2.650625                 0.690908
                      6.660000             -1033.011028                -2.573595                -2.603623                 0.737909
                      6.680000             -1033.062636                -2.625203                -2.557879                 0.783653
                      6.700000             -1033.113312                -2.675879                -2.513265                 0.828268
                      6.720000             -1033.163142                -2.725709                -2.469849                 0.871684
                      6.740000             -1033.212087                -2.774654                -2.427482                 0.914050
                      6.760000             -1033.260222                -2.822789                -2.386176                 0.955356
                      6.780000             -1033.307537                -2.870104                -2.345853                 0.995680
                      6.800000             -1033.354023                -2.916590                -2.306410                 1.035123
                      6.820000             -1033.399755                -2.962322                -2.267922                 1.073610
                      6.840000             -1033.444718                -3.007285                -2.230268                 1.111265
                      6.860000             -1033.488954                -3.051521                -2.193465                 1.148068
                      6.880000             -1033.532457                -3.095024                -2.157452                 1.184081
                      6.900000             -1033.575216                -3.137783                -2.122146                 1.219387
                      6.920000             -1033.617303                -3.179870                -2.087621                 1.253912
                      6.940000             -1033.658716                -3.221283                -2.053799                 1.287734
                      6.960000             -1033.699455                -3.262022                -2.020651                 1.320881
                      6.980000             -1033.739523                -3.302090                -1.988129                 1.353403
                      7.000000             -1033.778966                -3.341533                -1.956260                 1.385273
