#                            f                  Etot(f)          Etot(f)-Etot(0)                   eps(f)                    Pi(f)
                      4.000000              -990.109710                 0.000000               -23.134630                 1.484158
                      4.050000              -991.298636                -1.188927               -24.048717                 0.570072
                      4.100000              -992.507708                -2.397998               -24.286576                 0.332212
                      4.150000              -993.725659                -3.615949               -24.420967                 0.197822
                      4.200000              -994.949066                -4.839356               -24.508860                 0.109928
                      4.250000              -996.176126                -6.066417               -24.570833                 0.047955
                      4.300000              -997.405891                -7.296181               -24.616835                 0.001953
                      4.350000              -998.637654                -8.527944               -24.652153                -0.033364
                      4.400000              -999.871002                -9.761292               -24.680059                -0.061271
                      4.450000             -1001.105589               -10.995880               -24.702572                -0.083784
                      4.500000             -1002.341216               -12.231506               -24.721097                -0.102308
                      4.550000             -1003.577645               -13.467935               -24.736528                -0.117740
                      4.600000             -1004.814846               -14.705136               -24.749601                -0.130813
                      4.650000             -1006.052617               -15.942907               -24.760771                -0.141983
                      4.700000             -1007.290935               -17.181225               -24.770432                -0.151644
                      4.750000             -1008.529654               -18.419944               -24.778839                -0.160051
                      4.800000             -1009.768809               -19.659099               -24.786205                -0.167416
                      4.850000             -1011.008309               -20.898599               -24.792756                -0.173967
                      4.900000             -1012.248121               -22.138411               -24.798562                -0.179774
                      4.950000             -1013.488179               -23.378470               -24.803748                -0.184959
                      5.000000             -1014.728498               -24.618788               -24.808438                -0.189650
