#                            f                  Etot(f)          Etot(f)-Etot(0)                   eps(f)                    Pi(f)
                      9.000000             -2708.864417                 0.000000                -4.083710                 0.017098
                      9.050000             -2709.068610                -0.204193                -4.086027                 0.014782
                      9.100000             -2709.272966                -0.408548                -4.088175                 0.012633
                      9.150000             -2709.477643                -0.613226                -4.090236                 0.010572
                      9.200000             -2709.682197                -0.817780                -4.092189                 0.008620
                      9.250000             -2709.886655                -1.022238                -4.094085                 0.006724
                      9.300000             -2710.091414                -1.226997                -4.095827                 0.004982
                      9.350000             -2710.296281                -1.431864                -4.097503                 0.003306
                      9.400000             -2710.501145                -1.636727                -4.099131                 0.001677
                      9.450000             -2710.706125                -1.841708                -4.100694                 0.000115
                      9.500000             -2710.911197                -2.046779                -4.102140                -0.001331
                      9.550000             -2711.116234                -2.251817                -4.103511                -0.002702
                      9.600000             -2711.321690                -2.457273                -4.104888                -0.004080
                      9.650000             -2711.526938                -2.662521                -4.106253                -0.005444
                      9.700000             -2711.732281                -2.867864                -4.107470                -0.006661
                      9.750000             -2711.937486                -3.073069                -4.108622                -0.007813
                      9.800000             -2712.142884                -3.278467                -4.109789                -0.008980
                      9.850000             -2712.348572                -3.484155                -4.110892                -0.010083
                      9.900000             -2712.554130                -3.689713                -4.111982                -0.011173
                      9.950000             -2712.759560                -3.895143                -4.112966                -0.012158
                     10.000000             -2712.965226                -4.100809                -4.113964                -0.013155
