#                            f                  Etot(f)          Etot(f)-Etot(0)                   eps(f)                    Pi(f)
                      8.000000             -2690.797332                 0.000000               -18.112544                 0.060977
                      8.050000             -2691.703166                -0.905834               -18.122401                 0.051120
                      8.100000             -2692.609626                -1.812294               -18.131310                 0.042211
                      8.150000             -2693.516369                -2.719037               -18.139275                 0.034245
                      8.200000             -2694.423508                -3.626176               -18.146548                 0.026972
                      8.250000             -2695.330922                -4.533590               -18.153239                 0.020281
                      8.300000             -2696.238777                -5.441445               -18.159284                 0.014236
                      8.350000             -2697.146895                -6.349563               -18.164844                 0.008677
                      8.400000             -2698.055109                -7.257777               -18.169993                 0.003528
                      8.450000             -2698.963685                -8.166353               -18.174767                -0.001247
                      8.500000             -2699.872788                -9.075456               -18.179207                -0.005686
                      8.550000             -2700.781789                -9.984457               -18.183305                -0.009784
                      8.600000             -2701.690984               -10.893652               -18.187087                -0.013566
                      8.650000             -2702.600412               -11.803080               -18.190732                -0.017211
                      8.700000             -2703.509998               -12.712666               -18.194043                -0.020522
                      8.750000             -2704.419741               -13.622409               -18.197212                -0.023692
                      8.800000             -2705.329640               -14.532307               -18.200138                -0.026617
                      8.850000             -2706.239708               -15.442376               -18.202946                -0.029426
                      8.900000             -2707.149931               -16.352599               -18.205557                -0.032037
                      8.950000             -2708.060386               -17.263054               -18.208066                -0.034545
                      9.000000             -2708.970853               -18.173520               -18.210397                -0.036877
