#                            f                  Etot(f)          Etot(f)-Etot(0)                   eps(f)                    Pi(f)
                     31.000000            -56676.328290                 0.000000                -8.538337                -0.007925
                     31.050000            -56676.755212                -0.426921                -8.537998                -0.007586
                     31.100000            -56677.182124                -0.853834                -8.537374                -0.006962
                     31.150000            -56677.608995                -1.280705                -8.536523                -0.006111
                     31.200000            -56678.035860                -1.707570                -8.535610                -0.005198
                     31.250000            -56678.462683                -2.134392                -8.534675                -0.004263
                     31.300000            -56678.888782                -2.560491                -8.533530                -0.003118
                     31.350000            -56679.315530                -2.987239                -8.532607                -0.002195
                     31.400000            -56679.742153                -3.413862                -8.531606                -0.001194
                     31.450000            -56680.168648                -3.840358                -8.530564                -0.000152
                     31.500000            -56680.595177                -4.266886                -8.529577                 0.000835
                     31.550000            -56681.021669                -4.693378                -8.528647                 0.001765
                     31.600000            -56681.448061                -5.119771                -8.527715                 0.002697
                     31.650000            -56681.874370                -5.546080                -8.526799                 0.003613
                     31.700000            -56682.300636                -5.972346                -8.525905                 0.004507
                     31.750000            -56682.726775                -6.398485                -8.525060                 0.005352
                     31.800000            -56683.153007                -6.824717                -8.524226                 0.006186
                     31.850000            -56683.579181                -7.250890                -8.523446                 0.006966
                     31.900000            -56684.005357                -7.677067                -8.522674                 0.007738
                     31.950000            -56684.431484                -8.103193                -8.521937                 0.008475
                     32.000000            -56684.858702                -8.530412                -8.521236                 0.009176
