#                            f                  Etot(f)          Etot(f)-Etot(0)                   eps(f)                    Pi(f)
                      1.000000               -53.342456                 0.000000               -24.236034                -0.223232
                      1.050000               -54.467443                -1.124987               -23.069130                 0.943672
                      1.100000               -55.633609                -2.291153               -23.521100                 0.491702
                      1.150000               -56.816198                -3.473741               -23.760802                 0.252000
                      1.200000               -58.008192                -4.665736               -23.907512                 0.105290
                      1.250000               -59.206147                -5.863691               -24.004065                 0.008737
                      1.300000               -60.408104                -7.065648               -24.070442                -0.057640
                      1.350000               -61.612874                -8.270418               -24.117446                -0.104644
                      1.400000               -62.819651                -9.477194               -24.151655                -0.138853
                      1.450000               -64.027899               -10.685443               -24.176850                -0.164048
                      1.500000               -65.237242               -11.894786               -24.195802                -0.183000
                      1.550000               -66.447414               -13.104958               -24.210137                -0.197335
                      1.600000               -67.658203               -14.315747               -24.221160                -0.208358
                      1.650000               -68.869475               -15.527019               -24.229610                -0.216809
                      1.700000               -70.081133               -16.738677               -24.236122                -0.223320
                      1.750000               -71.293073               -17.950616               -24.241174                -0.228372
                      1.800000               -72.505239               -19.162783               -24.245103                -0.232301
                      1.850000               -73.717573               -20.375116               -24.248158                -0.235356
                      1.900000               -74.930043               -21.587586               -24.250526                -0.237725
                      1.950000               -76.142614               -22.800158               -24.252354                -0.239552
                      2.000000               -77.355258               -24.012802               -24.253747                -0.240945
