#                            f                  Etot(f)          Etot(f)-Etot(0)                   eps(f)                    Pi(f)
                      3.000000              -385.827014                 0.000000                -6.857433                 1.808664
                      3.050000              -386.218922                -0.391909                -8.114311                 0.551786
                      3.100000              -386.631191                -0.804177                -8.347051                 0.319045
                      3.150000              -387.052125                -1.225111                -8.477247                 0.188850
                      3.200000              -387.478259                -1.651245                -8.561720                 0.104377
                      3.250000              -387.907934                -2.080920                -8.621025                 0.045072
                      3.300000              -388.340170                -2.513156                -8.664873                 0.001224
                      3.350000              -388.774312                -2.947298                -8.698512                -0.032415
                      3.400000              -389.209927                -3.382913                -8.725036                -0.058939
                      3.450000              -389.646741                -3.819728                -8.746505                -0.080408
                      3.500000              -390.084554                -4.257540                -8.764265                -0.098168
                      3.550000              -390.523137                -4.696123                -8.779152                -0.113055
                      3.600000              -390.962462                -5.135448                -8.791899                -0.125802
                      3.650000              -391.402346                -5.575333                -8.802903                -0.136806
                      3.700000              -391.842737                -6.015723                -8.812517                -0.146420
                      3.750000              -392.283565                -6.456552                -8.821024                -0.154927
                      3.800000              -392.724819                -6.897806                -8.828632                -0.162535
                      3.850000              -393.166425                -7.339411                -8.835469                -0.169372
                      3.900000              -393.608395                -7.781381                -8.841704                -0.175607
                      3.950000              -394.050601                -8.223587                -8.847354                -0.181257
                      4.000000              -394.493111                -8.666097                -8.852572                -0.186475
